metric_type,domain,age_group,risk_level,sex,feedback_text,No,質問項目,age,年齢
KHQ_Q1,,青年期,正常,男性,現在の健康状態が良好であることは素晴らしいことですので、その状態を維持するために、日々の運動や栄養に気を配りながら、何か気になることがあればぜひ相談してください。,,,,
KHQ_Q1,,青年期,正常,女性,あなたの健康状態は良好ですので、この調子で日々の活動を大切にし、健康を維持していきましょう。何か気になることがあれば、ぜひ相談してくださいね。,,,,
KHQ_Q1,,青年期,注意,男性,現在の健康状態について注意が必要ですが、少しずつ改善に向けて取り組むことが大切です。何か気になることがあれば、ぜひ相談してみてください。,,,,
KHQ_Q1,,青年期,注意,女性,現在の健康状態について注意が必要ですが、少しずつ改善を目指すことができます。日常生活での小さな変化や相談を通じて、より良い健康を手に入れましょう。,,,,
KHQ_Q1,,青年期,改善要,男性,現在の健康状態についてのご意見をありがとうございます。少し改善が必要とのことですが、日常生活での小さな工夫や相談を通じて、より良い健康状態を目指していきましょう。,,,,
KHQ_Q1,,青年期,改善要,女性,現在の健康状態についてのご意見、ありがとうございます。少し改善が必要とのことですが、日常生活の中でできる小さな工夫を取り入れることで、より良い健康状態を目指すことができますので、ぜひ周囲の方や専門家に相談してみてください。,,,,
KHQ_Q1,,壮年期,正常,男性,現在の健康状態が正常であることは素晴らしいことですので、その状態を維持するために、日々の運動や栄養に気を配ることをお勧めします。何か気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q1,,壮年期,正常,女性,現在の健康状態が良好であることは素晴らしいことですので、その調子を維持するために、日々の運動や栄養に気を配りながら、何か気になることがあればぜひ相談してください。,,,,
KHQ_Q1,,壮年期,注意,男性,現在の健康状態について注意が必要ですが、少しの改善が期待できます。日常生活での運動や栄養に関する相談を通じて、より良い健康を目指していきましょう。,,,,
KHQ_Q1,,壮年期,注意,女性,現在の健康状態について注意が必要ですが、少しずつ改善に向けた行動を始めることが大切です。何か気になることがあれば、ぜひご相談ください。,,,,
KHQ_Q1,,壮年期,改善要,男性,現在の健康状態についてのご評価、ありがとうございます。改善が必要とされる状況ですが、少しずつ生活習慣を見直すことで健康感を高めることができますので、ぜひ周囲の方や専門家に相談しながら一歩を踏み出してみてください。,,,,
KHQ_Q1,,壮年期,改善要,女性,現在の健康状態についてのご意見、ありがとうございます。改善が必要とされていますので、日常生活での小さな変化や相談を通じて、より良い健康状態を目指していきましょう。,,,,
KHQ_Q1,,前期高齢者,正常,男性,現在の健康状態が良好であることは素晴らしいことですので、その状態を維持するために、日々の運動や栄養に気を配りながら、何か気になることがあればぜひ相談してください。,,,,
KHQ_Q1,,前期高齢者,正常,女性,現在の健康状態が良好であることは素晴らしいことですので、その調子を維持するために、日々の活動や栄養に気を配りながら、何か気になることがあればぜひ相談してください。,,,,
KHQ_Q1,,前期高齢者,注意,男性,現在の健康状態について注意が必要ですが、少しの改善が期待できますので、日常生活での活動や栄養に気を配りながら、ぜひ周囲の方と相談してみてください。あなたの健康を支えるための一歩を踏み出しましょう。,,,,
KHQ_Q1,,前期高齢者,注意,女性,現在の健康状態について注意が必要ですが、少しずつ改善を目指すことができます。日常生活での小さな変化や相談を通じて、より良い健康を維持していきましょう。,,,,
KHQ_Q1,,前期高齢者,改善要,男性,現在の健康状態についてのご意見、ありがとうございます。少し改善が必要とのことですが、日常生活の中での小さな運動や栄養に気を付けることで、健康感を高めることができますので、ぜひご相談ください。,,,,
KHQ_Q1,,前期高齢者,改善要,女性,現在の健康状態についてのご意見、ありがとうございます。少し改善が必要な状況ですが、日常生活の中での小さな変化や相談を通じて、より良い健康を目指していきましょう。,,,,
KHQ_Q1,,後期高齢者,正常,男性,現在の健康状態が良好であることは素晴らしいことですので、その状態を維持するために、日々の活動や栄養に気を配りながら、何か気になることがあればぜひ相談してください。,,,,
KHQ_Q1,,後期高齢者,正常,女性,現在の健康状態が良好であることは素晴らしいことですので、その調子を維持するために、日々の活動や栄養に気を配りながら、何か気になることがあればぜひ相談してください。,,,,
KHQ_Q1,,後期高齢者,注意,男性,現在の健康状態について注意が必要ですが、少しずつ改善を目指すことができます。日常生活での活動や食事について相談してみると、より良い健康を維持する手助けになるでしょう。,,,,
KHQ_Q1,,後期高齢者,注意,女性,現在の健康状態について注意が必要ですが、少しの改善が期待できますので、日常生活での活動や栄養に気を付けてみてください。何か気になることがあれば、ぜひ相談してくださいね。,,,,
KHQ_Q1,,後期高齢者,改善要,男性,現在の健康状態についてのご意見をお聞きし、改善の余地があることが分かりました。ぜひ、日常生活の中で少しずつ体を動かしたり、栄養に気を付けたりすることを考えてみてください。,,,,
KHQ_Q1,,後期高齢者,改善要,女性,現在の健康状態についてのご意見、ありがとうございます。少しでも改善を目指すために、日常生活での活動や栄養について相談してみることをお勧めします。,,,,
KHQ_Q2,,青年期,正常,男性,毎日の生活に満足されているとのこと、素晴らしいですね。この調子で、趣味や交流を大切にしながら、さらなる充実した日々をお過ごしください。,,,,
KHQ_Q2,,青年期,正常,女性,毎日の生活に満足されているとのこと、とても素晴らしいですね。この調子で、趣味や交流の時間を大切にしながら、さらなる充実を目指してみてはいかがでしょうか。,,,,
KHQ_Q2,,青年期,注意,男性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみを見つけたり、友人との交流を増やすことで、気分が改善するかもしれません。もしお困りのことがあれば、ぜひ相談してみてください。,,,,
KHQ_Q2,,青年期,注意,女性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみや交流を増やすことで、気持ちが明るくなるかもしれません。もしお困りのことがあれば、ぜひ周りの方や専門家に相談してみてください。,,,,
KHQ_Q2,,青年期,改善要,男性,毎日の生活に満足していないと感じることは、誰にでもあることですので、少しずつ自分の好きなことや興味を持てる活動を見つけてみると良いでしょう。また、気になることがあれば、ぜひ周りの人や専門家に相談してみてください。,,,,
KHQ_Q2,,青年期,改善要,女性,毎日の生活に満足していないと感じているようですね。小さな楽しみを見つけたり、友人や家族との交流を増やすことで、気持ちが少しずつ明るくなるかもしれません。,,,,
KHQ_Q2,,壮年期,正常,男性,毎日の生活に満足されているとのこと、素晴らしいですね。この調子で、趣味や交流を大切にしながら、さらなる充実感を感じられるようサポートいたしますので、何か気になることがあればお気軽にご相談ください。,,,,
KHQ_Q2,,壮年期,正常,女性,毎日の生活に満足されているとのこと、素晴らしいですね。この調子で、趣味や交流を大切にしながら、さらなる充実感を感じられるような活動を続けていきましょう。,,,,
KHQ_Q2,,壮年期,注意,男性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみや交流を再開することで、気分が明るくなるかもしれません。ぜひ、周囲の方や専門家に相談しながら、一歩ずつ前向きな変化を目指してみてください。,,,,
KHQ_Q2,,壮年期,注意,女性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみや交流を再開することで、気持ちが少しずつ明るくなるかもしれません。もしお困りのことがあれば、ぜひ周りの方や専門家に相談してみてください。,,,,
KHQ_Q2,,壮年期,改善要,男性,毎日の生活に満足していないと感じることがあるかもしれませんが、小さな楽しみや交流を増やすことで、心の健康を向上させることができます。ぜひ、周囲の方や専門家に相談しながら、一歩ずつ前進していきましょう。,,,,
KHQ_Q2,,壮年期,改善要,女性,毎日の生活に満足していないと感じることがあるかもしれませんが、小さな楽しみや交流を増やすことで、心の健康を向上させることができます。ぜひ、周囲の方や専門家に相談してみてください。,,,,
KHQ_Q2,,前期高齢者,正常,男性,毎日の生活に満足されているとのこと、素晴らしいですね。この調子で、趣味や交流を大切にしながら、さらに充実した日々をお過ごしください。,,,,
KHQ_Q2,,前期高齢者,正常,女性,毎日の生活に満足されているとのこと、素晴らしいですね。この調子で、趣味や交流を大切にしながら、さらなる充実感を感じられるように過ごしていきましょう。,,,,
KHQ_Q2,,前期高齢者,注意,男性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみや交流を増やすことで、気持ちが明るくなるかもしれません。もしお困りのことがあれば、ぜひ周りの方や専門家に相談してみてください。,,,,
KHQ_Q2,,前期高齢者,注意,女性,毎日の生活にやや不満を感じているとのことですが、小さな楽しみや交流を再開することで、心の健康を少しずつ改善できるかもしれません。ぜひ、身近な方や専門家に相談しながら、新しい活動を始めてみてください。,,,,
KHQ_Q2,,前期高齢者,改善要,男性,毎日の生活に満足していないと感じているかもしれませんが、小さな楽しみや交流を再開することで、気持ちが明るくなることがあります。ぜひ、周囲の方や専門家に相談してみてください。,,,,
